Wk,Winner,Loser
14,(15) Kansas State,Kansas
14,Kent State,Buffalo
14,Kentucky,Louisville
14,Louisiana,Texas State
14,Marshall,Georgia State
14,Maryland,Rutgers
14,(3) Michigan,(2) Ohio State
14,Middle Tennessee State,Florida International
14,Minnesota,Wisconsin
14,Nevada-Las Vegas,Nevada
14,New Mexico State,Liberty
14,North Texas,Rice
14,(22) Oregon State,(10) Oregon
14,(11) Penn State,Michigan State
14,Pittsburgh,Miami (FL)
14,Purdue,Indiana
14,San Jose State,Hawaii
14,South Alabama,Old Dominion
14,South Carolina,(7) Clemson
14,(5) Southern California,(13) Notre Dame
14,Southern Methodist,Memphis
14,Southern Mississippi,Louisiana-Monroe
14,Syracuse,Boston College
14,(9) Tennessee,Vanderbilt
14,Texas A&M,(6) Louisiana State
14,(4) Texas Christian,Iowa State
14,Texas Tech,Oklahoma
14,Texas-San Antonio,Texas-El Paso
14,Troy,Arkansas State
14,Tulsa,Houston
14,(14) Utah,Colorado
14,(12) Washington,Washington State
14,West Virginia,Oklahoma State
14,Western Kentucky,Florida Atlantic
15,Buffalo,Akron
15,(23) Texas-San Antonio,North Texas
15,(12) Utah,(4) Southern California
15,(10) Clemson,(24) North Carolina
15,Fresno State,Boise State
15,(1) Georgia,(11) Louisiana State
15,(13) Kansas State,(3) Texas Christian
15,(2) Michigan,Purdue
15,New Mexico State,Valparaiso
15,Toledo,Ohio
15,Troy,Coastal Carolina
15,(18) Tulane,(22) Central Florida
16,Army,Navy
17,Alabama-Birmingham,Miami (OH)
17,(23) Troy,(22) Texas-San Antonio
17,Boise State,North Texas
17,Brigham Young,Southern Methodist
17,Fresno State,Washington State
17,Louisville,Cincinnati
17,(17) Oregon State,Florida
17,Southern Mississippi,Rice
17,Marshall,Connecticut
18,Eastern Michigan,San Jose State
18,Toledo,Liberty
18,Western Kentucky,South Alabama
18,Air Force,Baylor
18,Houston,Louisiana
18,Wake Forest,Missouri
18,Middle Tennessee State,San Diego State
18,New Mexico State,Bowling Green
19,Buffalo,Georgia Southern
19,East Carolina,Coastal Carolina
19,Memphis,Utah State
19,Wisconsin,Oklahoma State
19,Arkansas,Kansas
19,Duke,Central Florida
19,(15) Oregon,North Carolina
19,Texas Tech,Mississippi
19,(13) Florida State,Oklahoma
19,Minnesota,Syracuse
19,(12) Washington,(21) Texas
19,Maryland,(25) North Carolina State
19,(19) Notre Dame,(20) South Carolina
19,Ohio,Wyoming
19,Pittsburgh,(18) UCLA
19,(6) Tennessee,(10) Clemson
19,(5) Alabama,(11) Kansas State
19,(1) Georgia,(4) Ohio State
19,Iowa,Kentucky
19,(3) Texas Christian,(2) Michigan
20,(16) Louisiana State,Purdue
20,(24) Mississippi State,Illinois
20,(9) Penn State,(7) Utah
20,(14) Tulane,(8) Southern California
21,(1) Georgia,(3) Texas Christian
